Pointer[#version],Original,Translated
0x60000,これは「メッセージエラー」です<4E>バグチェックに かきこんでください,
0x60002,これは「イベントエラー」です<4E>バグチェックに かきこんでください,
0x60004,・・・・・・・・・・・・,
0x60006,かいだんに ちかづくことができない,
0x60022,シューターで<4E>1かいに おリますか?<*4>,
0x60024,とびらは しまっている,
0x60026,テレポーターで<4E>きゅうけいじょまで のぼリますか?<*4>,
0x60028,フィールドにあがリますか?<*4>,
0x6002a,シューターは うごいていない,
0x6002c,テレポーターで<4E>20かいに のぼリますか?<*4>,
0x6002e,こんにちは ですわ<4C>あらン ここは はじめてぇ?<4E>ここは とっても コワーイ ところよ<4C>え? あたし?<4E>ひとは あたしを バニーってよぶわ<4C>そぉねえ カワイイあなたには<4E>クマちゃんを プ・レ・ゼ・ン・ト♥<4C>かわいがって あげてね,
0x60042,ここは メダロットを もつひとだけが<4E>すむことを ゆるされるところなの<4C>でも しょせんは ユメのせかいだから<4E>デタラメ いっぱいよ<4C>あなたが ロボトルに まけたなら<4C>このせかいから<4E>つまみだされるって いうのが<4C>たったひとつの ルール<4E>・・・ってとこかしら?<4C>じゃ ガンバッテねぇ,
0x60044,ねぇ あなた ユウキちゃんを<4E>さがしてるんでしょっ?<4C>うふふ♥ ホンモノの<4E>ユウキちゃんに よろしくねぇ,
0x60046,ヒカルちゃんてぇー<4E>バーで みかけたことあるわ<4C>かわいいこね♥<4E>しょうらいが たのしみだわ<4C>それじゃあ あなたも<4E>ガンバッテね,
0x60048,あなたの たいせつな ユウキちゃんを<4E>さらったっていう わるいまじょは<4C>「たいようのとう」の<4E>どこかに いるはずよ<4C>あなたも しってる かおかもね<4C>ユウキちゃん はやくみつかると<4E>いいわね クスッ♥,
0x6004a,あなたが ミルキーを<4E>たおしたって いうなら<4C>あとは このせかいで<4E>あそびたい ほうだいね<4C>おヒマなら ここで<4E>うでをあげてくと いいんじゃない?<4C>ねえねえ と・こ・ろ・で<4E>ユウキちゃんは みつけたの?,
